,numPhotos,price,propertyType,size,exterior,rooms,bathrooms,distance,priceByArea,hasPlan,has360,hasVideo,hasLift,parkingSpace_included_in_listing,floor_grouped,municipality_grouped
313,14,730.0,flat,80.0,True,3,1,35774,9.125,False,False,False,False,False,4,Other
315,27,710.0,flat,30.0,True,1,1,1156,23.666666666666668,True,True,True,False,False,0.0,Madrid
316,20,650.0,flat,58.0,True,1,1,5924,11.20689655172414,False,False,False,True,False,4,Madrid
318,28,740.0,flat,41.0,True,2,1,8358,18.04878048780488,True,True,True,False,False,3.0,Madrid
319,25,525.0,flat,40.0,True,1,1,43059,13.125,True,True,True,True,False,3.0,Other
320,11,750.0,studio,35.0,True,0,1,1272,21.428571428571427,False,False,False,False,False,4,Madrid
321,28,750.0,flat,74.0,True,3,1,29245,10.135135135135137,True,True,True,True,False,2.0,Other
323,25,710.0,flat,69.0,True,3,1,28440,10.289855072463768,True,True,True,True,False,4,Other
324,27,560.0,studio,46.0,True,0,1,3786,12.173913043478262,True,True,True,False,False,0.0,Madrid
326,25,600.0,flat,42.0,True,1,1,18905,14.285714285714286,False,False,False,False,False,0.0,Other
330,17,720.0,flat,44.0,True,1,1,3589,16.363636363636363,True,False,False,False,False,0.0,Madrid
331,12,750.0,flat,60.0,True,2,1,2591,12.5,False,False,False,False,False,nan,Madrid
332,5,750.0,flat,42.0,False,1,1,2762,17.857142857142858,False,False,False,True,False,4,Madrid
333,15,750.0,studio,90.0,True,0,1,7228,8.333333333333334,False,False,False,True,False,4,Madrid
334,16,650.0,studio,45.0,False,0,1,3807,14.444444444444445,True,False,True,True,False,0.0,Madrid
335,21,650.0,flat,59.0,True,1,1,20637,11.016949152542374,False,False,True,True,False,2.0,Other
336,61,670.0,flat,75.0,True,2,1,27056,8.933333333333334,False,False,False,True,True,3.0,Other
338,16,650.0,flat,45.0,True,1,1,12383,14.444444444444445,True,False,False,True,False,2.0,Other
340,7,750.0,flat,32.0,True,1,1,5339,23.4375,False,False,False,True,False,2.0,Madrid
341,19,725.0,flat,50.0,True,1,1,5564,14.5,True,True,True,False,False,nan,Madrid
342,17,620.0,studio,20.0,False,0,1,1893,31.0,False,False,False,True,False,1.0,Madrid
345,17,680.0,flat,35.0,True,1,1,3308,19.428571428571427,False,False,False,False,False,0.0,Madrid
346,7,750.0,flat,87.0,True,3,1,12519,8.620689655172415,False,False,False,True,False,0.0,Other
351,28,600.0,flat,75.0,True,3,1,28756,8.0,True,True,True,False,False,nan,Other
352,11,750.0,flat,70.0,True,2,1,12614,10.714285714285714,False,False,False,False,False,4,Other
354,15,700.0,flat,36.0,True,2,1,9525,19.444444444444443,False,False,False,False,False,3.0,Other
355,13,695.0,flat,58.0,False,1,1,5659,11.982758620689657,True,True,True,True,False,1.0,Madrid
356,28,710.0,flat,66.0,True,1,1,25013,10.757575757575758,False,False,False,True,True,2.0,Other
358,23,620.0,flat,80.0,True,2,1,49280,7.75,False,False,False,False,True,2.0,Other
361,22,700.0,flat,80.0,True,3,1,40907,8.75,False,False,False,False,True,1.0,Other
362,47,715.0,flat,89.0,True,3,1,39316,8.03370786516854,False,False,False,False,False,0.0,Other
364,21,750.0,flat,50.0,True,1,1,11203,15.0,False,False,False,True,True,1.0,Madrid
